"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"01001499999","2017-01-01","59.791925","5.34085","48.76","SORSTOKKEN, NO","  35.6"," 4","  27.1"," 4","9999.9"," 0","999.9"," 0","999.9"," 0"," 14.5"," 4"," 17.1","999.9","9999.9"," ","9999.9"," "," 0.00","I","999.9","000000"
"01001499999","2017-01-02","59.791925","5.34085","48.76","SORSTOKKEN, NO","  32.2"," 8","  31.1"," 8","9999.9"," 0","999.9"," 0","  5.2"," 8","  3.5"," 8","  6.0","999.9","  33.8","*","  32.0","*","99.99"," ","999.9","001000"
"01001499999","2017-01-03","59.791925","5.34085","48.76","SORSTOKKEN, NO","  39.0","15","  36.6","15","9999.9"," 0","999.9"," 0","  5.6","15"," 18.7","15"," 38.1"," 49.0","  42.8","*","  35.6","*","99.99"," ","999.9","011100"
"01001499999","2017-01-04","59.791925","5.34085","48.76","SORSTOKKEN, NO","  35.8","11","  26.4","11","9999.9"," 0","999.9"," 0","  6.2","11"," 12.7","11"," 18.1","999.9","  39.2","*","  33.8","*"," 0.00","I","999.9","000000"
"01001499999","2017-01-05","59.791925","5.34085","48.76","SORSTOKKEN, NO","  28.7","11","  13.5","11","9999.9"," 0","999.9"," 0","999.9"," 0","  9.1","11"," 13.0","999.9","  30.2","*","  26.6","*"," 0.00","I","999.9","000000"
"01001499999","2017-01-06","59.791925","5.34085","48.76","SORSTOKKEN, NO","  37.1"," 6","  35.6"," 6","9999.9"," 0","999.9"," 0","  4.6"," 6"," 18.4"," 6"," 29.1"," 52.4","  39.2","*","  35.6","*","99.99"," ","999.9","010000"
"01001499999","2017-01-09","59.791925","5.34085","48.76","SORSTOKKEN, NO","  44.2","10","  43.0","10","9999.9"," 0","999.9"," 0","  5.3","10"," 15.6","10"," 19.0"," 28.9","  44.6","*","  42.8","*","99.99"," ","999.9","010000"
"01001499999","2017-01-10","59.791925","5.34085","48.76","SORSTOKKEN, NO","  41.5","14","  37.8","14","9999.9"," 0","999.9"," 0","  6.2","14"," 14.1","14"," 15.9"," 28.9","  42.8","*","  41.0","*","99.99"," ","999.9","010000"
"01001499999","2017-01-11","59.791925","5.34085","48.76","SORSTOKKEN, NO","  39.6","13","  37.7","13","9999.9"," 0","999.9"," 0","  5.9","13"," 15.7","13"," 25.1"," 35.9","  42.8","*","  35.6","*","99.99"," ","999.9","011110"
"01001499999","2017-01-12","59.791925","5.34085","48.76","SORSTOKKEN, NO","  38.5","13","  32.8","13","9999.9"," 0","999.9"," 0","  6.2","13"," 17.2","13"," 31.1"," 60.2","  39.2","*","  37.4","*","99.99"," ","999.9","011010"
"01001499999","2017-01-13","59.791925","5.34085","48.76","SORSTOKKEN, NO","  37.0"," 8","  32.7"," 8","9999.9"," 0","999.9"," 0","  5.9"," 8"," 17.8"," 8"," 28.0"," 42.0","  37.4","*","  35.6","*","99.99"," ","999.9","010000"
"01001499999","2017-01-15","59.791925","5.34085","48.76","SORSTOKKEN, NO","  28.0"," 5","  22.3"," 5","9999.9"," 0","999.9"," 0","999.9"," 0","  0.6"," 5","  4.1","999.9","  30.2","*","  24.8","*"," 0.00","I","999.9","000000"
"01001499999","2017-01-16","59.791925","5.34085","48.76","SORSTOKKEN, NO","  28.5","14","  16.4","14","9999.9"," 0","999.9"," 0","999.9"," 0","  7.4","14","  8.9","999.9","  32.0","*","  24.8","*"," 0.00","I","999.9","000000"
"01001499999","2017-01-17","59.791925","5.34085","48.76","SORSTOKKEN, NO","  37.7","14","  36.6","14","9999.9"," 0","999.9"," 0","  2.9","14"," 13.9","14"," 18.1","999.9","  41.0","*","  33.8","*","99.99"," ","999.9","010000"
"01001499999","2017-01-18","59.791925","5.34085","48.76","SORSTOKKEN, NO","  43.7","12","  43.0","12","9999.9"," 0","999.9"," 0","  3.3","12","  7.7","12"," 14.0","999.9","  44.6","*","  42.8","*","99.99"," ","999.9","110000"
"01001499999","2017-01-19","59.791925","5.34085","48.76","SORSTOKKEN, NO","  45.8","15","  44.6","15","9999.9"," 0","999.9"," 0","  4.7","15","  9.9","15"," 14.0","999.9","  46.4","*","  44.6","*","99.99"," ","999.9","010000"
"01001499999","2017-01-20","59.791925","5.34085","48.76","SORSTOKKEN, NO","  45.6","13","  44.9","13","9999.9"," 0","999.9"," 0","  4.8","13","  7.8","13"," 11.1","999.9","  46.4","*","  44.6","*","99.99"," ","999.9","010000"
"01001499999","2017-01-22","59.791925","5.34085","48.76","SORSTOKKEN, NO","  39.2"," 7","  37.9"," 7","9999.9"," 0","999.9"," 0","  6.2"," 5","  7.3"," 7","  9.9","999.9","9999.9"," ","9999.9"," ","99.99"," ","999.9","010000"
"01001499999","2017-01-23","59.791925","5.34085","48.76","SORSTOKKEN, NO","  39.8","15","  38.6","15","9999.9"," 0","999.9"," 0","  6.2","15","  3.9","15","  8.0","999.9","  42.8","*","  37.4","*","99.99"," ","999.9","110000"
"01001499999","2017-01-24","59.791925","5.34085","48.76","SORSTOKKEN, NO","  40.7","16","  38.6","16","9999.9"," 0","999.9"," 0","  5.2","16"," 10.7","15"," 15.0","999.9","  42.8","*","  39.2","*","99.99"," ","999.9","010000"
"01001499999","2017-01-25","59.791925","5.34085","48.76","SORSTOKKEN, NO","  43.9","13","  42.9","13","9999.9"," 0","999.9"," 0","  3.1","13"," 12.4","13"," 15.0"," 24.1","  44.6","*","  42.8","*","99.99"," ","999.9","010000"
"01001499999","2017-01-26","59.791925","5.34085","48.76","SORSTOKKEN, NO","  40.2","14","  34.3","14","9999.9"," 0","999.9"," 0","  6.2","14"," 13.0","14"," 15.9"," 28.9","  41.0","*","  37.4","*"," 0.00","I","999.9","000000"
"01001499999","2017-01-27","59.791925","5.34085","48.76","SORSTOKKEN, NO","  37.4","12","  32.0","12","9999.9"," 0","999.9"," 0","  6.2"," 7","  7.0","12"," 20.0"," 44.1","  41.0","*","  33.8","*"," 0.00","I","999.9","100000"
"01001499999","2017-01-29","59.791925","5.34085","48.76","SORSTOKKEN, NO","  40.2"," 7","  38.7"," 7","9999.9"," 0","999.9"," 0","  6.1"," 7"," 15.0"," 7"," 22.0"," 32.1","  42.8","*","  33.8","*","99.99"," ","999.9","010010"
"01001499999","2017-01-30","59.791925","5.34085","48.76","SORSTOKKEN, NO","  39.0","15","  36.0","15","9999.9"," 0","999.9"," 0","  5.7","12","  4.3","15","  8.9","999.9","  41.0","*","  35.6","*"," 0.00","I","999.9","100000"
"01001499999","2017-01-31","59.791925","5.34085","48.76","SORSTOKKEN, NO","  37.5","14","  29.9","14","9999.9"," 0","999.9"," 0","  6.2","14","  7.6","14","  9.9","999.9","  39.2","*","  33.8","*","99.99"," ","999.9","010000"
"01001499999","2017-02-01","59.791925","5.34085","48.76","SORSTOKKEN, NO","  36.4","14","  33.8","14","9999.9"," 0","999.9"," 0","  6.2","11","  9.0","14"," 14.0","999.9","  37.4","*","  35.6","*","99.99"," ","999.9","011010"
"01001499999","2017-02-02","59.791925","5.34085","48.76","SORSTOKKEN, NO","  42.4","15","  33.7","15","9999.9"," 0","999.9"," 0","  6.2","15"," 11.6","15"," 15.0","999.9","  46.4","*","  39.2","*","99.99"," ","999.9","010000"
"01001499999","2017-02-03","59.791925","5.34085","48.76","SORSTOKKEN, NO","  47.9","12","  38.0","12","9999.9"," 0","999.9"," 0","  6.2","12","  9.8","12"," 14.0"," 21.0","  50.0","*","  44.6","*","99.99"," ","999.9","010000"
"01001499999","2017-02-05","59.791925","5.34085","48.76","SORSTOKKEN, NO","  39.2"," 7","  36.1"," 7","9999.9"," 0","999.9"," 0","  6.2"," 7","  2.4"," 7","  5.1","999.9","  41.0","*","  37.4","*"," 0.00","I","999.9","000000"
"01001499999","2017-02-06","59.791925","5.34085","48.76","SORSTOKKEN, NO","  39.4","15","  24.2","15","9999.9"," 0","999.9"," 0","  6.2","15"," 10.1","15"," 15.0","999.9","  41.0","*","  35.6","*"," 0.00","I","999.9","000000"
"01001499999","2017-02-07","59.791925","5.34085","48.76","SORSTOKKEN, NO","  30.3","14","  11.3","14","9999.9"," 0","999.9"," 0","999.9"," 0"," 13.0","13"," 19.0"," 28.9","  32.0","*","  28.4","*"," 0.00","I","999.9","000000"
"01001499999","2017-02-08","59.791925","5.34085","48.76","SORSTOKKEN, NO","  27.8","13","   6.8","13","9999.9"," 0","999.9"," 0","999.9"," 0","  5.6","13"," 11.1","999.9","  32.0","*","  23.0","*"," 0.00","I","999.9","000000"
"01001499999","2017-02-09","59.791925","5.34085","48.76","SORSTOKKEN, NO","  29.1","15","   8.6","15","9999.9"," 0","999.9"," 0","  6.2"," 5","  6.0","15"," 12.0","999.9","  32.0","*","  24.8","*"," 0.00","I","999.9","000000"
"01001499999","2017-02-10","59.791925","5.34085","48.76","SORSTOKKEN, NO","  32.1","12","  14.2","12","9999.9"," 0","999.9"," 0","  6.2"," 7","  6.4","12","  9.9","999.9","  33.8","*","  30.2","*"," 0.00","I","999.9","000000"
