station,date,temp,dew_point,wind_speed,precipitation
1001499999,2020-01-01,43.2,42.8,9.2,99.99
1001499999,2020-01-02,44.6,43.5,18.2,99.99
1001499999,2020-01-03,38.0,34.7,15.5,99.99
1001499999,2020-01-05,45.5,44.6,10.4,99.99
1001499999,2020-01-06,45.2,45.0,14.4,99.99
1001499999,2020-01-07,43.4,42.0,16.2,99.99
1001499999,2020-01-08,41.5,37.5,15.1,99.99
1001499999,2020-01-09,39.1,36.2,6.1,99.99
1001499999,2020-01-10,34.8,31.3,5.1,0.0
1001499999,2020-01-12,42.3,35.6,8.3,99.99
1001499999,2020-01-13,42.2,37.4,12.0,99.99
1001499999,2020-01-14,42.7,37.9,13.1,99.99
1001499999,2020-01-15,43.4,37.0,13.4,99.99
1001499999,2020-01-16,45.2,41.3,11.4,99.99
1001499999,2020-01-17,45.9,44.3,10.5,99.99
1001499999,2020-01-19,39.5,37.7,7.7,99.99
1001499999,2020-01-20,44.9,44.7,8.1,99.99
1001499999,2020-01-21,41.8,40.1,6.8,99.99
1001499999,2020-01-22,40.0,36.6,3.6,0.0
1001499999,2020-01-23,44.2,44.1,8.7,99.99
1001499999,2020-01-24,39.3,38.7,6.4,99.99
1001499999,2020-01-26,43.5,42.3,13.4,99.99
1001499999,2020-01-27,40.7,39.8,7.7,99.99
1001499999,2020-01-28,38.5,28.4,4.9,99.99
1001499999,2020-01-29,37.4,36.8,5.4,99.99
1001499999,2020-01-30,38.4,37.0,10.3,99.99
1001499999,2020-01-31,43.2,41.5,10.3,99.99
1001499999,2020-02-02,39.7,33.3,4.2,0.0
1001499999,2020-02-03,34.1,28.8,11.8,99.99
1001499999,2020-02-04,36.1,30.9,6.1,99.99
1001499999,2020-02-05,40.3,40.0,8.7,99.99
1001499999,2020-02-06,43.9,43.8,3.8,99.99
1001499999,2020-02-07,39.1,38.3,9.5,99.99
1001499999,2020-02-09,44.9,44.9,16.9,99.99
1001499999,2020-02-10,39.1,36.8,12.3,99.99
1001499999,2020-02-11,39.6,36.2,10.3,99.99
1001499999,2020-02-12,36.2,34.4,11.3,99.99
1001499999,2020-02-13,33.9,33.0,7.3,99.99
1001499999,2020-02-14,37.8,34.1,13.3,99.99
1001499999,2020-02-16,43.1,36.8,15.6,0.0
1001499999,2020-02-17,44.1,40.9,18.7,99.99
1001499999,2020-02-18,40.7,37.8,11.8,99.99
1001499999,2020-02-19,38.8,36.3,8.1,0.0
1001499999,2020-02-20,40.4,39.6,14.4,99.99
1001499999,2020-02-21,42.9,41.2,14.9,99.99
1001499999,2020-02-23,37.6,36.0,5.6,99.99
1001499999,2020-02-24,36.2,34.4,4.3,99.99
1001499999,2020-02-25,37.7,19.0,5.3,0.0
1001499999,2020-02-26,35.0,16.9,11.2,99.99
1001499999,2020-02-27,33.4,29.1,11.2,99.99
1001499999,2020-02-28,38.9,35.7,4.1,99.99
1001499999,2020-03-01,39.0,37.4,13.7,99.99
1001499999,2020-03-02,40.7,38.0,11.5,99.99
1001499999,2020-03-03,41.1,29.6,10.5,99.99
1001499999,2020-03-04,41.4,34.3,3.8,0.0
1001499999,2020-03-05,38.8,34.8,6.5,99.99
1001499999,2020-03-06,39.8,29.0,6.1,0.0
1001499999,2020-03-08,44.4,43.9,10.0,99.99
1001499999,2020-03-09,43.2,40.3,8.4,0.0
1001499999,2020-03-10,41.6,37.1,13.4,99.99
1001499999,2020-03-11,41.8,39.0,12.6,99.99
1001499999,2020-03-12,40.6,36.5,8.8,99.99
1001499999,2020-03-13,34.8,20.4,17.1,0.0
1001499999,2020-03-15,46.0,42.4,8.3,99.99
1001499999,2020-03-16,40.3,35.6,8.0,99.99
1001499999,2020-03-17,45.3,41.2,8.9,0.0
1001499999,2020-03-18,41.2,38.1,10.6,99.99
1001499999,2020-03-19,41.7,40.8,13.0,99.99
1001499999,2020-03-20,42.5,36.9,4.7,0.0
1001499999,2020-03-23,42.6,31.1,19.9,0.0
1001499999,2020-03-24,44.6,33.5,21.1,0.0
1001499999,2020-03-25,45.5,41.7,12.8,99.99
1001499999,2020-03-26,41.0,41.0,9.4,99.99
1001499999,2020-03-27,45.3,39.2,4.5,0.0
1001499999,2020-03-30,42.3,32.0,11.0,0.0
1001499999,2020-03-31,41.9,40.4,8.4,99.99
1001499999,2020-04-01,42.3,42.0,10.0,99.99
1001499999,2020-04-02,37.0,35.4,19.1,99.99
1001499999,2020-04-03,34.0,31.8,10.2,99.99
1001499999,2020-04-06,58.6,33.1,21.4,0.0
1001499999,2020-04-07,47.1,41.5,4.2,0.0
1001499999,2020-04-14,39.5,37.1,6.3,99.99
1001499999,2020-04-15,44.6,44.6,11.0,99.99
1001499999,2020-04-16,42.6,35.6,12.9,0.0
1001499999,2020-04-17,43.2,28.6,6.6,0.0
1001499999,2020-04-20,54.9,37.4,3.0,0.0
1001499999,2020-04-21,57.7,37.2,4.4,0.0
1001499999,2020-04-22,58.1,37.0,4.5,0.0
1001499999,2020-04-23,47.8,43.2,6.9,0.0
1001499999,2020-04-24,48.0,38.1,14.3,0.0
1001499999,2020-04-27,46.2,37.6,4.7,0.0
1001499999,2020-04-28,50.0,33.6,5.5,0.0
1001499999,2020-04-29,46.9,34.7,9.1,0.0
1001499999,2020-04-30,46.8,30.6,13.7,99.99
1001499999,2020-05-04,44.8,32.2,12.6,0.0
1001499999,2020-05-05,46.6,32.2,5.8,0.0
1001499999,2020-05-06,49.3,44.4,9.7,0.0
1001499999,2020-05-07,46.8,39.6,2.2,0.0
1001499999,2020-05-08,48.2,43.2,6.5,0.0
1001499999,2020-05-11,41.2,35.4,11.6,99.99
1001499999,2020-05-12,38.5,28.8,11.9,99.99
