station,date,temp,dew_point,wind_speed,precipitation
1001499999,2015-01-04,34.2,33.8,5.2,99.99
1001499999,2015-01-05,39.2,38.0,10.0,99.99
1001499999,2015-01-06,43.2,41.6,18.3,99.99
1001499999,2015-01-07,41.0,37.8,14.0,99.99
1001499999,2015-01-08,41.3,37.3,9.3,99.99
1001499999,2015-01-09,39.5,32.7,12.1,99.99
1001499999,2015-01-11,38.9,32.8,8.1,99.99
1001499999,2015-01-12,43.5,40.3,17.7,99.99
1001499999,2015-01-13,39.6,33.3,13.8,99.99
1001499999,2015-01-14,40.2,31.1,12.3,99.99
1001499999,2015-01-15,41.6,36.2,19.4,99.99
1001499999,2015-01-16,39.9,36.2,17.3,99.99
1001499999,2015-01-18,36.1,34.8,5.4,99.99
1001499999,2015-01-19,34.0,28.5,5.7,0.0
1001499999,2015-01-20,35.9,20.8,8.9,0.0
1001499999,2015-01-21,36.9,18.8,10.4,0.0
1001499999,2015-01-22,31.5,18.9,5.9,0.0
1001499999,2015-01-23,36.6,34.8,16.8,99.99
1001499999,2015-01-25,39.2,37.7,15.2,99.99
1001499999,2015-01-26,39.8,38.6,5.9,99.99
1001499999,2015-01-27,39.2,38.3,8.8,99.99
1001499999,2015-01-28,40.4,39.6,11.9,99.99
1001499999,2015-01-29,35.3,33.0,10.7,99.99
1001499999,2015-01-30,34.2,32.3,17.4,99.99
1001499999,2015-02-01,32.2,20.1,10.6,0.0
1001499999,2015-02-02,30.9,24.0,7.2,0.0
1001499999,2015-02-03,31.6,23.9,4.7,0.0
1001499999,2015-02-04,29.8,22.2,1.9,0.0
1001499999,2015-02-05,33.4,22.7,9.7,99.99
1001499999,2015-02-06,35.7,34.7,3.6,99.99
1001499999,2015-02-08,38.9,38.7,9.2,99.99
1001499999,2015-02-09,42.2,42.1,5.4,99.99
1001499999,2015-02-10,43.2,42.9,8.1,99.99
1001499999,2015-02-11,39.6,37.7,10.5,99.99
1001499999,2015-02-12,40.3,37.8,8.1,99.99
1001499999,2015-02-13,38.7,35.1,10.2,99.99
1001499999,2015-02-15,44.6,25.3,13.6,0.0
1001499999,2015-02-16,41.8,28.6,15.4,0.0
1001499999,2015-02-17,39.6,36.8,11.8,99.99
1001499999,2015-02-18,44.3,43.6,10.4,99.99
1001499999,2015-02-19,44.6,42.4,13.6,99.99
1001499999,2015-02-20,38.7,36.1,8.6,99.99
1001499999,2015-02-22,37.4,28.7,11.4,99.99
1001499999,2015-02-23,38.8,34.4,14.6,99.99
1001499999,2015-02-24,39.7,33.6,14.3,99.99
1001499999,2015-02-25,42.8,38.6,4.9,99.99
1001499999,2015-02-26,40.2,33.8,21.4,99.99
1001499999,2015-02-27,41.0,36.8,11.1,99.99
1001499999,2015-03-01,41.7,39.7,14.4,99.99
1001499999,2015-03-02,40.5,35.8,6.7,99.99
1001499999,2015-03-03,35.2,33.3,7.7,99.99
1001499999,2015-03-04,37.9,33.0,3.2,99.99
1001499999,2015-03-05,39.5,38.2,11.8,99.99
1001499999,2015-03-06,42.8,40.6,11.5,99.99
1001499999,2015-03-08,43.7,41.6,5.9,0.0
1001499999,2015-03-09,41.6,34.2,11.3,0.0
1001499999,2015-03-10,44.6,39.7,18.8,99.99
1001499999,2015-03-11,42.8,31.2,9.2,0.0
1001499999,2015-03-12,43.8,36.6,9.8,99.99
1001499999,2015-03-13,46.9,29.6,7.0,0.0
1001499999,2015-03-15,47.1,26.8,3.2,0.0
1001499999,2015-03-16,46.3,31.4,10.3,0.0
1001499999,2015-03-17,50.1,30.2,11.2,99.99
1001499999,2015-03-18,47.6,36.2,4.0,0.0
1001499999,2015-03-19,41.9,40.2,2.4,99.99
1001499999,2015-03-20,42.5,42.4,6.5,99.99
1001499999,2015-03-22,38.3,37.4,12.7,99.99
1001499999,2015-03-23,44.0,41.6,10.8,99.99
1001499999,2015-03-24,42.8,36.9,5.8,99.99
1001499999,2015-03-25,43.2,29.9,12.1,99.99
1001499999,2015-03-26,37.9,26.8,7.1,99.99
1001499999,2015-03-27,42.5,34.2,2.9,0.0
1001499999,2015-03-29,45.2,38.0,4.6,99.99
1001499999,2015-03-30,40.2,35.7,4.0,99.99
1001499999,2015-03-31,37.9,31.7,6.1,99.99
1001499999,2015-04-01,38.5,31.7,16.5,99.99
1001499999,2015-04-06,40.6,38.2,4.8,0.0
1001499999,2015-04-07,46.4,44.7,6.5,99.99
1001499999,2015-04-08,45.4,35.3,6.0,0.0
1001499999,2015-04-09,42.5,39.7,9.4,99.99
1001499999,2015-04-10,43.8,41.0,11.4,99.99
1001499999,2015-04-12,41.7,37.4,10.1,99.99
1001499999,2015-04-13,39.7,28.7,13.0,99.99
1001499999,2015-04-14,43.5,42.0,11.5,99.99
1001499999,2015-04-15,43.7,41.1,8.0,99.99
1001499999,2015-04-16,42.4,35.7,10.4,99.99
1001499999,2015-04-17,44.8,35.4,6.3,0.0
1001499999,2015-04-19,54.1,34.7,7.1,0.0
1001499999,2015-04-20,52.5,36.6,3.5,0.0
1001499999,2015-04-21,43.8,38.8,5.5,0.0
1001499999,2015-04-22,48.2,40.2,7.2,0.0
1001499999,2015-04-23,47.7,40.7,7.8,0.0
1001499999,2015-04-24,41.1,40.0,4.8,99.99
1001499999,2015-04-26,44.2,36.3,7.0,0.0
1001499999,2015-04-27,43.6,31.5,7.7,0.0
1001499999,2015-04-28,45.0,30.6,6.6,0.0
1001499999,2015-04-29,43.9,34.4,5.3,0.0
1001499999,2015-04-30,41.1,37.1,7.8,99.99
1001499999,2015-05-03,53.3,31.7,9.1,0.0
1001499999,2015-05-04,48.6,39.2,12.3,99.99
1001499999,2015-05-05,53.9,41.8,10.1,99.99
1001499999,2015-05-06,51.8,42.9,15.2,0.0
1001499999,2015-05-07,44.3,41.7,8.0,99.99
1001499999,2015-05-08,45.0,36.4,9.5,99.99
1001499999,2015-05-10,51.3,35.4,8.5,99.99
1001499999,2015-05-11,48.2,47.8,12.8,99.99
1001499999,2015-05-12,49.5,43.6,9.9,99.99
1001499999,2015-05-13,48.9,45.6,11.5,99.99
1001499999,2015-05-14,48.8,37.9,12.9,0.0
1001499999,2015-05-15,51.8,39.2,5.5,0.0
1001499999,2015-05-18,48.7,34.5,10.6,99.99
1001499999,2015-05-19,45.7,41.4,8.1,99.99
1001499999,2015-05-20,51.5,38.9,7.4,0.0
1001499999,2015-05-21,47.5,42.8,8.4,99.99
1001499999,2015-05-22,47.3,45.6,11.4,99.99
1001499999,2015-05-25,47.6,42.6,4.7,99.99
1001499999,2015-05-26,48.5,41.8,7.6,99.99
1001499999,2015-05-27,48.4,44.6,6.7,99.99
1001499999,2015-05-28,46.7,43.1,7.6,99.99
1001499999,2015-05-29,45.3,41.0,8.2,99.99
1001499999,2015-05-31,54.0,39.2,6.0,0.0
1001499999,2015-06-01,48.2,41.1,18.8,99.99
