station,date,temp,dew_point,wind_speed,precipitation
1001099999,2015-01-01,21.1,17.6,18.9,0.12
1001099999,2015-01-02,21.8,17.8,20.2,0.12
1001099999,2015-01-03,21.1,15.5,22.3,0.01
1001099999,2015-01-04,25.3,21.6,25.7,0.02
1001099999,2015-01-05,34.5,30.8,19.0,0.0
1001099999,2015-01-06,33.8,31.3,12.1,0.43
1001099999,2015-01-07,34.7,32.1,16.6,0.1
1001099999,2015-01-08,34.3,32.5,9.0,0.18
1001099999,2015-01-09,33.2,29.3,14.8,0.0
1001099999,2015-01-10,33.9,31.5,16.0,0.13
1001099999,2015-01-11,34.3,31.7,10.3,0.17
1001099999,2015-01-12,33.0,27.9,23.8,0.03
1001099999,2015-01-13,30.1,23.6,23.7,0.0
1001099999,2015-01-14,29.6,23.2,30.8,0.0
1001099999,2015-01-15,34.0,29.8,23.6,0.06
1001099999,2015-01-16,31.8,26.5,25.4,0.01
1001099999,2015-01-17,25.9,17.1,17.6,0.0
1001099999,2015-01-18,25.2,17.9,7.9,0.0
1001099999,2015-01-19,28.9,23.6,6.2,0.0
1001099999,2015-01-20,35.2,32.1,8.8,0.02
1001099999,2015-01-21,35.8,34.1,17.6,0.12
1001099999,2015-01-22,36.3,34.1,25.3,0.05
1001099999,2015-01-23,35.1,32.9,10.8,0.14
1001099999,2015-01-24,23.5,19.8,19.8,0.03
1001099999,2015-01-25,26.6,23.1,21.7,0.0
1001099999,2015-01-26,32.4,29.3,20.1,0.31
1001099999,2015-01-27,30.6,28.4,13.5,0.12
1001099999,2015-01-28,31.4,26.1,23.7,0.06
1001099999,2015-01-29,27.6,19.1,19.8,0.0
1001099999,2015-01-30,22.4,14.7,15.3,0.0
1001099999,2015-01-31,19.3,14.4,18.1,0.03
1001099999,2015-02-01,18.5,11.8,23.1,0.02
1001099999,2015-02-02,28.6,23.5,21.0,0.0
1001099999,2015-02-03,29.4,24.0,14.4,0.0
1001099999,2015-02-04,32.9,28.1,24.4,0.06
1001099999,2015-02-05,26.6,20.5,8.9,0.04
1001099999,2015-02-06,28.4,25.6,11.9,0.0
1001099999,2015-02-07,16.7,8.0,13.0,0.55
1001099999,2015-02-08,27.9,24.1,15.8,0.05
1001099999,2015-02-09,32.5,27.3,21.0,0.01
1001099999,2015-02-10,21.5,19.5,19.2,0.01
1001099999,2015-02-11,13.7,9.1,16.0,0.24
1001099999,2015-02-12,8.0,-2.2,8.4,0.01
1001099999,2015-02-13,10.7,3.4,5.7,0.02
1001099999,2015-02-14,30.0,24.9,23.9,0.01
1001099999,2015-02-15,36.9,34.6,28.7,0.26
1001099999,2015-02-16,29.2,24.2,15.9,0.01
1001099999,2015-02-17,21.7,16.7,11.3,0.11
1001099999,2015-02-18,16.0,8.9,13.3,0.0
1001099999,2015-02-19,24.8,19.8,17.7,0.0
1001099999,2015-02-20,18.5,13.9,27.0,0.06
1001099999,2015-02-21,15.7,8.6,18.6,0.01
1001099999,2015-02-22,13.8,5.7,9.4,0.02
1001099999,2015-02-23,16.5,7.8,14.8,0.01
1001099999,2015-02-24,18.5,12.8,23.6,0.02
1001099999,2015-02-25,18.7,10.8,14.9,0.0
1001099999,2015-02-26,33.0,31.0,35.2,0.0
1001099999,2015-02-27,33.9,29.8,11.7,0.04
1001099999,2015-02-28,30.9,29.7,23.5,0.0
1001099999,2015-03-03,29.4,25.3,19.4,0.37
1001099999,2015-03-04,26.1,21.1,11.7,0.01
1001099999,2015-03-05,32.9,30.3,20.9,0.01
1001099999,2015-03-06,28.0,23.7,20.6,0.0
1001099999,2015-03-07,28.8,27.0,21.2,0.05
1001099999,2015-03-08,25.5,21.4,12.1,0.15
1001099999,2015-03-09,28.1,22.9,5.7,0.04
1001099999,2015-03-10,28.9,22.9,8.9,0.02
1001099999,2015-03-11,33.9,31.6,17.5,0.06
1001099999,2015-03-12,25.9,21.3,22.2,0.26
1001099999,2015-03-13,32.2,30.1,18.0,0.15
1001099999,2015-03-14,35.8,32.9,21.0,0.08
1001099999,2015-03-15,35.2,28.2,25.3,0.07
1001099999,2015-03-16,34.9,32.4,13.3,0.14
1001099999,2015-03-17,31.4,25.8,14.5,0.66
1001099999,2015-03-18,23.9,17.6,10.0,0.0
1001099999,2015-03-19,17.7,9.7,16.7,0.0
1001099999,2015-03-20,20.0,13.0,8.2,0.0
1001099999,2015-03-21,31.2,28.6,17.2,0.01
1001099999,2015-03-22,30.1,28.4,21.0,0.18
1001099999,2015-03-23,31.0,27.9,27.9,0.44
1001099999,2015-03-24,21.8,16.2,16.9,0.0
1001099999,2015-03-25,31.0,27.7,15.5,0.0
1001099999,2015-03-26,34.7,32.6,21.9,0.02
1001099999,2015-03-27,32.2,27.6,11.5,0.17
1001099999,2015-03-28,32.2,27.9,18.4,0.04
1001099999,2015-03-29,22.7,16.4,9.4,0.02
1001099999,2015-03-30,21.6,15.8,18.9,0.0
1001099999,2015-03-31,23.8,15.9,12.7,0.0
1001099999,2015-04-01,25.8,20.4,18.7,0.0
1001099999,2015-04-02,21.8,14.0,11.0,0.0
1001099999,2015-04-03,26.2,19.9,11.1,0.0
1001099999,2015-04-04,32.7,30.8,14.2,0.01
1001099999,2015-04-05,26.6,25.2,21.5,0.18
1001099999,2015-04-06,28.4,26.0,13.6,0.03
1001099999,2015-04-07,29.9,27.3,9.9,0.13
1001099999,2015-04-08,32.0,27.4,17.5,0.18
1001099999,2015-04-09,27.6,23.3,8.5,0.1
1001099999,2015-04-10,23.6,17.2,13.1,0.04
1001099999,2015-04-11,26.9,24.0,18.9,0.0
1001099999,2015-04-12,23.6,21.8,27.4,0.26
1001099999,2015-04-13,26.3,20.6,12.1,0.31
1001099999,2015-04-14,33.9,32.7,9.4,0.16
1001099999,2015-04-15,27.9,24.4,16.0,0.09
1001099999,2015-04-16,34.5,30.8,16.4,0.04
1001099999,2015-04-17,34.0,32.1,6.7,0.0
1001099999,2015-04-18,38.9,32.6,29.4,0.05
1001099999,2015-04-19,40.4,34.4,17.3,0.0
1001099999,2015-04-20,39.6,33.1,12.4,0.0
1001099999,2015-04-21,33.1,29.2,19.6,0.0
1001099999,2015-04-22,27.2,24.7,26.8,0.09
1001099999,2015-04-23,23.6,17.9,22.4,0.18
1001099999,2015-04-24,17.1,8.6,15.5,0.0
