"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"01001499999","2018-01-01","59.791925","5.34085","48.76","SORSTOKKEN, NO","  40.0"," 7","  37.9"," 7","9999.9"," 0","999.9"," 0","  6.2"," 7","  4.6"," 7","  9.9","999.9","  41.0","*","  39.2","*","99.99"," ","999.9","010000"
"01001499999","2018-01-02","59.791925","5.34085","48.76","SORSTOKKEN, NO","  37.9","14","  36.4","14","9999.9"," 0","999.9"," 0","  6.0","14","  5.3","14","  8.9","999.9","  39.2","*","  35.6","*","99.99"," ","999.9","010000"
"01001499999","2018-01-03","59.791925","5.34085","48.76","SORSTOKKEN, NO","  41.6","14","  26.3","14","9999.9"," 0","999.9"," 0","  6.2","14","  5.7","14"," 12.0"," 20.0","  42.8","*","  41.0","*"," 0.00","I","999.9","000000"
"01001499999","2018-01-04","59.791925","5.34085","48.76","SORSTOKKEN, NO","  37.4","14","  26.9","14","9999.9"," 0","999.9"," 0","  6.2","14","  2.0","14","  4.1","999.9","  41.0","*","  35.6","*"," 0.00","I","999.9","000000"
"01001499999","2018-01-05","59.791925","5.34085","48.76","SORSTOKKEN, NO","  33.2","13","  27.2","13","9999.9"," 0","999.9"," 0","  6.2","13","  1.0","13","  2.9","999.9","  37.4","*","  32.0","*"," 0.00","I","999.9","000000"
"01001499999","2018-01-07","59.791925","5.34085","48.76","SORSTOKKEN, NO","  39.2"," 9","  36.6"," 9","9999.9"," 0","999.9"," 0","  6.1"," 9"," 15.3"," 9"," 20.0"," 33.0","  41.0","*","  37.4","*","99.99"," ","999.9","011000"
"01001499999","2018-01-08","59.791925","5.34085","48.76","SORSTOKKEN, NO","  39.2","14","  33.3","14","9999.9"," 0","999.9"," 0","  6.2","14","  6.7","14","  8.9","999.9","  41.0","*","  35.6","*"," 0.00","I","999.9","000000"
"01001499999","2018-01-09","59.791925","5.34085","48.76","SORSTOKKEN, NO","  43.2","13","  17.0","13","9999.9"," 0","999.9"," 0","  6.2","13"," 15.3","13"," 25.1"," 36.9","  46.4","*","  37.4","*"," 0.00","I","999.9","000000"
"01001499999","2018-01-10","59.791925","5.34085","48.76","SORSTOKKEN, NO","  45.0","13","  33.2","13","9999.9"," 0","999.9"," 0","  6.2","13","  7.5","13"," 17.1"," 21.0","  48.2","*","  41.0","*","99.99"," ","999.9","010000"
"01001499999","2018-01-11","59.791925","5.34085","48.76","SORSTOKKEN, NO","  41.8","14","  35.2","14","9999.9"," 0","999.9"," 0","  6.2","14","  2.7","14","  6.0","999.9","  44.6","*","  39.2","*","99.99"," ","999.9","010000"
"01001499999","2018-01-12","59.791925","5.34085","48.76","SORSTOKKEN, NO","  35.2","13","  34.2","13","9999.9"," 0","999.9"," 0","  6.0","13","  4.4","13"," 11.1","999.9","  37.4","*","  32.0","*"," 0.00","I","999.9","100000"
"01001499999","2018-01-14","59.791925","5.34085","48.76","SORSTOKKEN, NO","  34.7"," 8","  23.2"," 8","9999.9"," 0","999.9"," 0","  6.2"," 8"," 27.6"," 8"," 38.9"," 64.1","  35.6","*","  33.8","*"," 0.00","I","999.9","000000"
"01001499999","2018-01-15","59.791925","5.34085","48.76","SORSTOKKEN, NO","  38.6","16","  30.5","16","9999.9"," 0","999.9"," 0","  6.2","16"," 22.6","16"," 27.0"," 42.0","  41.0","*","  35.6","*","99.99"," ","999.9","010000"
"01001499999","2018-01-16","59.791925","5.34085","48.76","SORSTOKKEN, NO","  34.2","15","  33.3","15","9999.9"," 0","999.9"," 0","  5.9","15","  8.6","15"," 14.0","999.9","  35.6","*","  33.8","*","99.99"," ","999.9","011100"
"01001499999","2018-01-17","59.791925","5.34085","48.76","SORSTOKKEN, NO","  33.2","14","  31.6","14","9999.9"," 0","999.9"," 0","  5.9","14","  7.7","14"," 11.1","999.9","  33.8","*","  32.0","*","99.99"," ","999.9","011000"
"01001499999","2018-01-18","59.791925","5.34085","48.76","SORSTOKKEN, NO","  33.5","13","  27.7","13","9999.9"," 0","999.9"," 0","  5.6","13","  7.3","13","  9.9","999.9","  33.8","*","  32.0","*","99.99"," ","999.9","001000"
"01001499999","2018-01-19","59.791925","5.34085","48.76","SORSTOKKEN, NO","  33.4","13","  32.1","13","9999.9"," 0","999.9"," 0","  5.1","13"," 10.4","13"," 13.0","999.9","  33.8","*","  32.0","*","99.99"," ","999.9","011000"
