station,date,temp,dew_point,wind_speed,precipitation
1001499999,2018-01-01,40.0,37.9,4.6,99.99
1001499999,2018-01-02,37.9,36.4,5.3,99.99
1001499999,2018-01-03,41.6,26.3,5.7,0.0
1001499999,2018-01-04,37.4,26.9,2.0,0.0
1001499999,2018-01-05,33.2,27.2,1.0,0.0
1001499999,2018-01-07,39.2,36.6,15.3,99.99
1001499999,2018-01-08,39.2,33.3,6.7,0.0
1001499999,2018-01-09,43.2,17.0,15.3,0.0
1001499999,2018-01-10,45.0,33.2,7.5,99.99
1001499999,2018-01-11,41.8,35.2,2.7,99.99
1001499999,2018-01-12,35.2,34.2,4.4,0.0
1001499999,2018-01-14,34.7,23.2,27.6,0.0
1001499999,2018-01-15,38.6,30.5,22.6,99.99
1001499999,2018-01-16,34.2,33.3,8.6,99.99
1001499999,2018-01-17,33.2,31.6,7.7,99.99
1001499999,2018-01-18,33.5,27.7,7.3,99.99
1001499999,2018-01-19,33.4,32.1,10.4,99.99
1001499999,2018-01-21,34.2,23.5,8.5,0.0
1001499999,2018-01-22,36.7,25.3,16.3,99.99
1001499999,2018-01-23,39.6,37.4,16.4,99.99
1001499999,2018-01-24,42.9,39.2,16.6,99.99
1001499999,2018-01-25,41.1,38.4,6.0,99.99
1001499999,2018-01-26,34.9,33.2,2.0,99.99
1001499999,2018-01-28,42.4,38.1,12.8,99.99
1001499999,2018-01-29,39.1,37.5,9.1,99.99
1001499999,2018-01-30,39.0,37.8,8.8,99.99
1001499999,2018-01-31,35.6,34.5,10.0,99.99
1001499999,2018-02-01,34.9,29.7,2.8,0.0
1001499999,2018-02-02,35.3,23.1,2.5,0.0
1001499999,2018-02-04,31.7,16.8,4.9,0.0
1001499999,2018-02-05,30.3,20.8,7.1,99.99
1001499999,2018-02-06,29.8,22.0,5.9,99.99
1001499999,2018-02-07,32.5,30.7,5.2,99.99
1001499999,2018-02-08,35.2,33.9,15.2,99.99
1001499999,2018-02-09,36.8,35.3,12.6,99.99
1001499999,2018-02-11,36.8,23.8,8.7,99.99
1001499999,2018-02-12,32.1,31.3,4.9,99.99
1001499999,2018-02-13,37.3,31.6,13.7,0.0
1001499999,2018-02-14,38.7,28.8,19.8,99.99
1001499999,2018-02-15,35.4,29.2,19.8,99.99
1001499999,2018-02-16,35.6,34.2,9.6,99.99
1001499999,2018-02-18,37.8,35.2,6.8,0.0
1001499999,2018-02-19,36.8,26.2,4.7,0.0
1001499999,2018-02-20,35.5,21.6,6.1,0.0
1001499999,2018-02-21,36.3,33.4,3.2,99.99
1001499999,2018-02-22,33.3,27.0,6.2,0.0
1001499999,2018-02-23,35.8,22.7,7.2,0.0
1001499999,2018-02-24,36.5,22.6,8.1,0.0
1001499999,2018-02-25,35.6,23.0,4.4,0.0
1001499999,2018-02-26,28.3,25.6,6.9,99.99
1001499999,2018-02-27,23.0,4.2,8.8,0.0
1001499999,2018-02-28,16.7,-4.5,9.6,0.0
1001499999,2018-03-01,22.4,2.6,4.2,0.0
1001499999,2018-03-02,27.8,12.9,3.2,0.0
1001499999,2018-03-04,32.9,16.9,7.1,0.0
1001499999,2018-03-05,32.3,13.2,3.6,0.0
1001499999,2018-03-06,32.5,18.4,2.7,0.0
1001499999,2018-03-07,35.2,30.7,2.0,99.99
1001499999,2018-03-08,35.6,33.8,3.3,99.99
1001499999,2018-03-09,33.4,29.5,7.1,99.99
1001499999,2018-03-10,38.8,27.9,7.2,99.99
1001499999,2018-03-11,37.6,32.6,2.8,99.99
1001499999,2018-03-12,35.1,33.4,2.4,99.99
1001499999,2018-03-13,36.0,31.2,3.8,0.0
1001499999,2018-03-14,37.7,21.6,10.1,0.0
1001499999,2018-03-15,37.0,18.0,9.2,0.0
1001499999,2018-03-16,31.4,4.1,10.6,0.0
1001499999,2018-03-17,31.2,5.8,3.3,0.0
1001499999,2018-03-18,37.6,16.7,8.4,0.0
1001499999,2018-03-19,37.4,32.5,11.9,99.99
1001499999,2018-03-20,36.9,30.0,4.1,0.0
1001499999,2018-03-21,35.1,34.5,7.7,99.99
1001499999,2018-03-22,35.2,34.3,2.0,0.0
1001499999,2018-03-23,41.1,36.2,17.5,99.99
1001499999,2018-03-24,44.6,39.0,6.9,0.0
1001499999,2018-03-25,42.5,38.6,7.8,99.99
1001499999,2018-03-26,40.4,35.6,4.4,99.99
1001499999,2018-03-27,32.8,27.6,11.6,99.99
1001499999,2018-03-28,35.1,8.6,15.1,0.0
1001499999,2018-03-29,40.7,8.9,6.3,0.0
1001499999,2018-03-30,40.2,12.5,4.2,0.0
1001499999,2018-04-01,39.8,19.4,8.1,0.0
1001499999,2018-04-02,40.2,27.4,3.9,0.0
1001499999,2018-04-03,34.2,23.4,8.4,99.99
1001499999,2018-04-04,39.5,37.9,8.2,99.99
1001499999,2018-04-05,37.4,33.7,9.5,99.99
1001499999,2018-04-06,40.6,31.6,4.5,0.0
1001499999,2018-04-07,45.9,35.9,17.0,99.99
1001499999,2018-04-08,44.8,43.4,3.4,99.99
1001499999,2018-04-09,41.9,40.6,8.4,99.99
1001499999,2018-04-10,45.2,37.8,3.2,0.0
1001499999,2018-04-11,49.6,29.1,3.5,0.0
1001499999,2018-04-12,53.0,21.3,3.5,0.0
1001499999,2018-04-13,58.8,31.0,8.5,99.99
1001499999,2018-04-14,58.6,36.4,5.1,0.0
1001499999,2018-04-15,56.5,41.7,3.4,0.0
1001499999,2018-04-16,48.1,42.4,2.5,0.0
1001499999,2018-04-17,50.0,43.7,10.8,99.99
1001499999,2018-04-18,50.0,45.6,9.4,99.99
1001499999,2018-04-19,59.6,47.7,11.6,0.0
1001499999,2018-04-20,51.9,45.3,5.5,99.99
1001499999,2018-04-21,48.2,43.3,4.3,0.0
1001499999,2018-04-22,47.5,41.7,10.7,99.99
1001499999,2018-04-23,44.7,43.4,8.6,99.99
1001499999,2018-04-24,44.2,43.6,6.8,99.99
1001499999,2018-04-25,44.6,42.0,5.8,99.99
1001499999,2018-04-26,43.5,40.3,6.5,99.99
1001499999,2018-04-27,44.7,40.6,4.9,99.99
1001499999,2018-04-28,46.6,36.5,4.9,0.0
1001499999,2018-04-29,49.8,37.2,10.1,0.0
1001499999,2018-04-30,48.8,34.7,4.3,0.0
1001499999,2018-05-01,44.6,41.0,4.0,99.99
1001499999,2018-05-02,49.7,37.0,14.7,99.99
1001499999,2018-05-03,46.1,39.5,6.9,99.99
1001499999,2018-05-04,45.8,43.9,11.1,99.99
1001499999,2018-05-05,53.2,48.9,8.7,0.0
1001499999,2018-05-06,56.4,46.4,8.0,0.0
1001499999,2018-05-07,57.7,42.9,5.0,0.0
1001499999,2018-05-08,66.2,44.1,12.9,0.0
1001499999,2018-05-09,69.0,46.3,12.1,0.0
1001499999,2018-05-10,48.6,48.6,3.8,99.99
1001499999,2018-05-11,52.9,46.4,8.6,0.0
1001499999,2018-05-12,53.4,44.6,2.6,0.0
1001499999,2018-05-13,68.4,39.9,4.9,0.0
1001499999,2018-05-14,64.7,48.9,5.9,0.0
1001499999,2018-05-15,67.2,46.4,4.1,0.0
1001499999,2018-05-16,50.8,43.1,18.6,99.99
1001499999,2018-05-18,55.8,41.5,5.7,0.0
1001499999,2018-05-20,62.6,43.5,12.0,0.0
1001499999,2018-05-21,66.8,44.9,9.2,0.0
1001499999,2018-05-22,56.3,45.6,6.2,0.0
1001499999,2018-05-23,55.3,47.1,3.8,0.0
1001499999,2018-05-24,57.6,45.0,4.5,0.0
1001499999,2018-05-25,68.7,46.1,7.1,0.0
1001499999,2018-05-27,77.2,48.9,5.4,0.0
1001499999,2018-05-28,69.9,47.9,7.1,0.0
1001499999,2018-05-29,66.7,53.7,5.4,0.0
1001499999,2018-05-30,76.6,52.7,5.4,0.0
1001499999,2018-05-31,77.1,52.8,6.2,0.0
1001499999,2018-06-01,74.7,51.1,7.8,0.0
1001499999,2018-06-03,67.3,55.8,9.6,0.0
1001499999,2018-06-04,58.0,49.2,15.7,0.0
1001499999,2018-06-05,61.8,44.6,6.8,0.0
1001499999,2018-06-06,63.4,49.9,5.1,0.0
1001499999,2018-06-07,62.5,49.7,5.5,0.0
1001499999,2018-06-08,64.0,52.6,5.7,0.0
1001499999,2018-06-10,58.2,51.5,9.6,0.0
1001499999,2018-06-11,50.1,46.7,19.5,99.99
1001499999,2018-06-12,51.2,44.9,14.1,99.99
1001499999,2018-06-13,53.2,44.3,10.8,0.0
1001499999,2018-06-14,53.5,51.7,19.1,99.99
1001499999,2018-06-15,54.7,46.9,11.3,99.99
1001499999,2018-06-16,57.8,46.7,6.5,0.0
1001499999,2018-06-17,60.1,51.4,4.4,0.0
1001499999,2018-06-18,54.0,50.7,8.1,99.99
1001499999,2018-06-19,52.4,46.9,14.5,99.99
1001499999,2018-06-20,50.9,47.3,4.9,99.99
1001499999,2018-06-21,51.0,43.2,12.1,99.99
1001499999,2018-06-22,52.5,44.6,20.2,99.99
1001499999,2018-06-24,55.2,51.8,6.5,99.99
1001499999,2018-06-25,54.4,51.0,9.2,0.0
1001499999,2018-06-26,55.5,48.1,12.1,0.0
1001499999,2018-06-27,58.7,49.8,8.7,0.0
1001499999,2018-06-28,64.1,52.2,5.6,0.0
1001499999,2018-06-29,61.9,49.5,11.2,0.0
1001499999,2018-07-01,74.5,44.2,5.8,0.0
1001499999,2018-07-02,63.6,50.7,7.0,0.0
1001499999,2018-07-03,57.6,49.7,15.2,0.0
1001499999,2018-07-04,60.0,53.1,5.7,0.0
1001499999,2018-07-05,56.8,52.2,8.4,99.99
1001499999,2018-07-06,57.1,45.4,15.5,0.0
1001499999,2018-07-08,64.6,49.1,8.2,0.0
1001499999,2018-07-09,52.8,45.6,14.6,0.0
1001499999,2018-07-10,65.0,52.2,7.1,0.0
1001499999,2018-07-11,63.5,53.4,9.5,0.0
1001499999,2018-07-12,57.9,52.0,12.8,0.0
1001499999,2018-07-13,55.1,50.3,11.3,99.99
1001499999,2018-07-15,69.2,55.6,4.0,0.0
1001499999,2018-07-16,67.6,55.8,7.4,0.0
1001499999,2018-07-17,68.7,54.6,3.0,0.0
1001499999,2018-07-18,62.6,56.5,6.5,99.99
1001499999,2018-07-19,63.9,51.0,11.6,0.0
1001499999,2018-07-20,71.3,46.4,4.6,0.0
1001499999,2018-07-22,62.9,53.6,5.2,99.99
1001499999,2018-07-23,59.8,57.2,4.1,99.99
1001499999,2018-07-24,63.3,60.8,8.0,99.99
1001499999,2018-07-25,65.7,56.9,5.0,0.0
1001499999,2018-07-26,73.9,55.0,4.2,0.0
1001499999,2018-07-27,86.0,59.2,6.1,0.0
1001499999,2018-07-29,70.2,52.2,10.9,0.0
1001499999,2018-07-30,65.5,59.2,11.7,99.99
1001499999,2018-07-31,67.0,61.4,9.7,99.99
1001499999,2018-08-01,69.8,54.6,9.4,0.0
1001499999,2018-08-02,62.1,58.7,7.8,99.99
1001499999,2018-08-03,64.7,61.1,4.2,0.0
1001499999,2018-08-05,63.3,50.0,9.9,0.0
1001499999,2018-08-06,55.4,52.6,10.2,99.99
1001499999,2018-08-07,65.8,60.1,7.7,99.99
1001499999,2018-08-08,65.9,56.9,8.6,99.99
1001499999,2018-08-09,60.2,54.2,6.7,99.99
1001499999,2018-08-10,55.9,53.3,12.3,99.99
1001499999,2018-08-12,61.5,48.0,9.0,0.0
1001499999,2018-08-13,59.9,47.5,4.3,0.0
1001499999,2018-08-14,61.3,51.5,3.6,0.0
1001499999,2018-08-15,60.8,57.2,9.5,99.99
1001499999,2018-08-16,58.6,56.9,8.0,99.99
1001499999,2018-08-17,59.3,53.4,7.1,99.99
1001499999,2018-08-19,60.4,49.8,4.9,99.99
1001499999,2018-08-20,56.4,47.9,7.1,99.99
1001499999,2018-08-21,60.2,43.8,3.4,0.0
1001499999,2018-08-22,59.3,58.4,11.3,99.99
1001499999,2018-08-23,57.3,50.6,4.8,99.99
1001499999,2018-08-24,53.0,49.9,3.2,99.99
1001499999,2018-08-26,57.7,44.6,3.9,0.0
1001499999,2018-08-27,57.2,48.6,12.7,99.99
1001499999,2018-08-28,58.4,53.0,4.3,99.99
1001499999,2018-08-29,57.1,53.7,10.7,99.99
1001499999,2018-08-30,56.4,49.2,7.0,0.0
1001499999,2018-08-31,59.3,50.2,3.3,0.0
1001499999,2018-09-02,63.8,51.4,13.6,0.0
1001499999,2018-09-03,64.1,51.9,7.1,0.0
1001499999,2018-09-04,60.5,53.3,4.9,0.0
1001499999,2018-09-05,59.3,53.0,6.1,0.0
1001499999,2018-09-06,55.6,54.6,2.9,99.99
1001499999,2018-09-07,67.8,49.7,9.4,0.0
1001499999,2018-09-09,57.0,51.6,12.6,99.99
1001499999,2018-09-10,54.9,52.4,9.7,99.99
1001499999,2018-09-11,54.8,52.6,12.0,99.99
1001499999,2018-09-12,53.7,48.3,13.6,99.99
1001499999,2018-09-13,52.5,48.4,9.9,99.99
1001499999,2018-09-14,51.7,49.7,9.6,99.99
1001499999,2018-09-16,53.6,51.8,14.8,99.99
1001499999,2018-09-18,66.8,54.6,14.7,99.99
1001499999,2018-09-19,59.7,53.7,14.6,99.99
1001499999,2018-09-20,54.2,46.0,13.5,99.99
1001499999,2018-09-21,51.4,48.8,9.0,99.99
1001499999,2018-09-23,45.7,41.7,14.5,99.99
1001499999,2018-09-24,42.9,39.1,9.3,99.99
1001499999,2018-09-25,49.5,46.6,9.1,99.99
1001499999,2018-09-26,53.7,50.8,13.7,99.99
1001499999,2018-09-27,48.4,46.3,11.3,99.99
1001499999,2018-09-28,47.1,39.0,6.3,99.99
1001499999,2018-09-30,49.3,43.9,6.4,99.99
1001499999,2018-10-01,45.4,42.4,9.9,99.99
1001499999,2018-10-02,45.6,42.3,17.3,99.99
1001499999,2018-10-03,46.0,42.0,4.1,99.99
1001499999,2018-10-04,50.7,49.9,10.8,99.99
1001499999,2018-10-05,48.3,42.4,8.2,99.99
1001499999,2018-10-07,46.4,39.6,12.0,99.99
1001499999,2018-10-08,50.8,45.9,6.1,99.99
1001499999,2018-10-09,53.6,51.8,12.8,99.99
1001499999,2018-10-10,57.6,52.1,10.5,0.0
1001499999,2018-10-11,63.9,44.2,15.0,0.0
1001499999,2018-10-12,61.2,50.8,18.3,99.99
1001499999,2018-10-14,52.7,51.6,9.2,99.99
1001499999,2018-10-15,47.6,42.3,6.9,0.0
1001499999,2018-10-16,49.5,41.6,7.9,0.0
1001499999,2018-10-17,53.9,50.8,7.8,99.99
1001499999,2018-10-18,46.3,43.1,3.7,99.99
1001499999,2018-10-19,48.2,43.9,9.4,99.99
1001499999,2018-10-21,49.1,48.4,9.0,99.99
1001499999,2018-10-22,46.7,41.1,13.3,99.99
1001499999,2018-10-23,47.6,41.0,20.0,99.99
1001499999,2018-10-24,42.3,37.3,4.0,99.99
1001499999,2018-10-25,44.2,41.4,10.4,99.99
1001499999,2018-10-26,42.5,35.6,4.6,0.0
1001499999,2018-10-28,39.0,20.1,6.3,0.0
1001499999,2018-10-29,37.1,16.3,13.2,0.0
1001499999,2018-10-30,41.8,25.1,5.1,99.99
1001499999,2018-10-31,44.0,41.0,7.8,99.99
1001499999,2018-11-01,49.3,40.0,15.8,99.99
1001499999,2018-11-02,43.9,42.4,5.8,99.99
1001499999,2018-11-04,51.4,35.4,18.6,0.0
1001499999,2018-11-05,49.7,39.2,7.2,0.0
1001499999,2018-11-06,48.6,40.6,3.0,0.0
1001499999,2018-11-07,59.4,42.8,8.4,0.0
1001499999,2018-11-08,52.4,45.7,10.3,99.99
1001499999,2018-11-09,50.4,39.1,9.1,0.0
1001499999,2018-11-11,52.0,46.0,7.6,99.99
1001499999,2018-11-12,49.1,46.0,10.8,99.99
1001499999,2018-11-13,47.2,45.0,9.2,99.99
1001499999,2018-11-14,49.2,45.4,13.3,99.99
1001499999,2018-11-15,51.0,46.1,13.5,0.0
1001499999,2018-11-16,51.2,43.5,9.4,0.0
1001499999,2018-11-18,43.5,39.9,1.9,0.0
1001499999,2018-11-19,35.9,35.3,1.9,0.0
1001499999,2018-11-20,33.6,32.5,3.7,0.0
1001499999,2018-11-21,40.0,32.1,3.0,0.0
1001499999,2018-11-22,37.3,33.9,5.8,0.0
1001499999,2018-11-23,37.1,34.8,4.5,0.0
1001499999,2018-11-25,35.0,28.4,2.9,0.0
1001499999,2018-11-26,32.6,28.4,2.8,0.0
1001499999,2018-11-27,35.7,24.3,8.5,0.0
1001499999,2018-11-28,39.8,21.2,18.2,0.0
1001499999,2018-11-29,48.4,44.7,17.4,99.99
1001499999,2018-11-30,47.3,42.7,17.5,99.99
1001499999,2018-12-02,44.4,41.9,11.0,99.99
1001499999,2018-12-03,43.7,41.9,9.3,99.99
