station,date,temp,dew_point,wind_speed,precipitation
1003099999,2017-01-01,19.0,9.6,14.0,0.06
1003099999,2017-01-02,23.1,15.7,15.2,0.0
1003099999,2017-01-03,24.5,18.3,12.0,0.02
1003099999,2017-01-04,23.3,19.4,9.0,0.0
1003099999,2017-01-05,27.3,23.6,18.9,0.38
1003099999,2017-01-06,23.8,18.0,18.6,0.0
1003099999,2017-01-07,21.1,11.7,10.4,0.01
1003099999,2017-01-08,15.9,8.3,17.5,0.0
1003099999,2017-01-09,8.9,-2.0,8.1,0.02
1003099999,2017-01-10,10.5,0.5,6.4,0.01
1003099999,2017-01-11,13.0,5.8,5.4,0.0
1003099999,2017-01-12,16.5,9.4,7.7,0.01
1003099999,2017-01-13,19.3,10.3,16.6,0.0
1003099999,2017-01-14,23.9,15.8,19.1,0.0
1003099999,2017-01-15,18.9,13.5,3.9,0.0
1003099999,2017-01-16,29.8,25.9,12.3,0.0
1003099999,2017-01-17,22.2,16.8,27.1,0.41
1003099999,2017-01-18,13.2,7.3,15.9,0.06
1003099999,2017-01-19,11.4,2.7,8.0,0.05
1003099999,2017-01-20,16.7,9.1,12.1,0.0
1003099999,2017-01-21,17.1,6.1,9.4,0.0
1003099999,2017-01-22,19.1,11.7,9.6,0.0
1003099999,2017-01-23,22.1,16.1,14.3,0.01
1003099999,2017-01-24,31.5,30.8,9.9,0.0
1003099999,2017-01-25,20.6,14.2,21.6,0.48
1003099999,2017-01-26,9.6,1.2,7.8,0.0
1003099999,2017-01-27,10.5,2.5,15.9,0.0
1003099999,2017-01-28,7.1,-0.8,5.7,0.0
1003099999,2017-01-29,7.3,-2.6,15.6,0.0
1003099999,2017-01-30,2.7,-9.9,5.7,0.0
1003099999,2017-01-31,1.8,-12.0,6.3,0.0
1003099999,2017-02-01,13.1,3.9,10.4,0.0
1003099999,2017-02-02,25.2,20.8,18.0,0.0
1003099999,2017-02-03,32.7,29.4,11.0,0.02
1003099999,2017-02-04,28.4,26.2,7.9,0.03
1003099999,2017-02-05,34.9,34.2,6.8,0.08
1003099999,2017-02-06,34.3,33.8,9.7,0.28
1003099999,2017-02-07,36.7,34.5,13.8,0.09
1003099999,2017-02-08,36.2,34.6,11.5,0.02
1003099999,2017-02-09,36.8,32.3,14.2,0.19
1003099999,2017-02-10,34.3,31.4,10.7,0.0
1003099999,2017-02-11,34.2,31.4,14.2,0.32
1003099999,2017-02-12,32.0,27.6,10.4,0.26
1003099999,2017-02-13,23.0,17.8,12.8,0.0
