"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"01001499999","2015-01-30","59.791925","5.34085","48.76","SORSTOKKEN, NO","  34.2","16","  32.3","16","9999.9"," 0","999.9"," 0","  3.3","15"," 17.4","16"," 22.9"," 32.1","  35.6","*","  33.8","*","99.99"," ","999.9","011000"
"01001499999","2015-02-01","59.791925","5.34085","48.76","SORSTOKKEN, NO","  32.2"," 8","  20.1"," 8","9999.9"," 0","999.9"," 0","  6.2"," 8"," 10.6"," 8"," 15.9","999.9","  33.8","*","  30.2","*"," 0.00","I","999.9","000000"
"01001499999","2015-02-02","59.791925","5.34085","48.76","SORSTOKKEN, NO","  30.9","15","  24.0","15","9999.9"," 0","999.9"," 0","  6.2"," 7","  7.2","15"," 17.1","999.9","  35.6","*","  26.6","*"," 0.00","I","999.9","000000"
"01001499999","2015-02-03","59.791925","5.34085","48.76","SORSTOKKEN, NO","  31.6","14","  23.9","14","9999.9"," 0","999.9"," 0","  6.2"," 6","  4.7","14"," 11.1","999.9","  35.6","*","  28.4","*"," 0.00","I","999.9","000000"
"01001499999","2015-02-04","59.791925","5.34085","48.76","SORSTOKKEN, NO","  29.8","13","  22.2","13","9999.9"," 0","999.9"," 0","999.9"," 0","  1.9","13","  2.9","999.9","  37.4","*","  24.8","*"," 0.00","I","999.9","000000"
"01001499999","2015-02-05","59.791925","5.34085","48.76","SORSTOKKEN, NO","  33.4","14","  22.7","14","9999.9"," 0","999.9"," 0","  6.2"," 8","  9.7","14"," 14.0","999.9","  35.6","*","  32.0","*","99.99"," ","999.9","001000"
"01001499999","2015-02-06","59.791925","5.34085","48.76","SORSTOKKEN, NO","  35.7","16","  34.7","16","9999.9"," 0","999.9"," 0","  6.2","16","  3.6","16","  7.0","999.9","  37.4","*","  33.8","*","99.99"," ","999.9","010000"
"01001499999","2015-02-08","59.791925","5.34085","48.76","SORSTOKKEN, NO","  38.9"," 7","  38.7"," 7","9999.9"," 0","999.9"," 0","  2.1"," 7","  9.2"," 7"," 19.0","999.9","  42.8","*","  35.6","*","99.99"," ","999.9","010000"
"01001499999","2015-02-09","59.791925","5.34085","48.76","SORSTOKKEN, NO","  42.2","15","  42.1","15","9999.9"," 0","999.9"," 0","  4.7","15","  5.4","15","  9.9","999.9","  44.6","*","  41.0","*","99.99"," ","999.9","110000"
"01001499999","2015-02-10","59.791925","5.34085","48.76","SORSTOKKEN, NO","  43.2","14","  42.9","14","9999.9"," 0","999.9"," 0","  5.6","14","  8.1","14"," 11.1","999.9","  44.6","*","  42.8","*","99.99"," ","999.9","010000"
"01001499999","2015-02-11","59.791925","5.34085","48.76","SORSTOKKEN, NO","  39.6","14","  37.7","14","9999.9"," 0","999.9"," 0","  6.2","14"," 10.5","14"," 13.0","999.9","  41.0","*","  39.2","*","99.99"," ","999.9","010000"
"01001499999","2015-02-12","59.791925","5.34085","48.76","SORSTOKKEN, NO","  40.3","13","  37.8","13","9999.9"," 0","999.9"," 0","  6.1","13","  8.1","13"," 11.1","999.9","  42.8","*","  39.2","*","99.99"," ","999.9","010000"
"01001499999","2015-02-13","59.791925","5.34085","48.76","SORSTOKKEN, NO","  38.7","15","  35.1","15","9999.9"," 0","999.9"," 0","  6.2","15"," 10.2","15"," 13.0"," 24.1","  39.2","*","  37.4","*","99.99"," ","999.9","010000"
"01001499999","2015-02-15","59.791925","5.34085","48.76","SORSTOKKEN, NO","  44.6"," 7","  25.3"," 7","9999.9"," 0","999.9"," 0","999.9"," 0"," 13.6"," 7"," 15.0"," 22.0","  48.2","*","  41.0","*"," 0.00","I","999.9","000000"
"01001499999","2015-02-16","59.791925","5.34085","48.76","SORSTOKKEN, NO","  41.8","15","  28.6","15","9999.9"," 0","999.9"," 0","  6.2","12"," 15.4","14"," 22.0"," 32.1","  44.6","*","  39.2","*"," 0.00","I","999.9","000000"
"01001499999","2015-02-17","59.791925","5.34085","48.76","SORSTOKKEN, NO","  39.6","14","  36.8","14","9999.9"," 0","999.9"," 0","  6.0","14"," 11.8","13"," 18.1"," 34.0","  42.8","*","  35.6","*","99.99"," ","999.9","010000"
"01001499999","2015-02-18","59.791925","5.34085","48.76","SORSTOKKEN, NO","  44.3","13","  43.6","13","9999.9"," 0","999.9"," 0","  2.8","13"," 10.4","13"," 12.0"," 22.0","  46.4","*","  42.8","*","99.99"," ","999.9","010000"
"01001499999","2015-02-19","59.791925","5.34085","48.76","SORSTOKKEN, NO","  44.6","14","  42.4","14","9999.9"," 0","999.9"," 0","  5.0","14"," 13.6","14"," 18.1"," 28.9","9999.9"," ","9999.9"," ","99.99"," ","999.9","010000"
"01001499999","2015-02-20","59.791925","5.34085","48.76","SORSTOKKEN, NO","  38.7","15","  36.1","15","9999.9"," 0","999.9"," 0","  6.2","15","  8.6","15"," 12.0","999.9","  42.8","*","  35.6","*","99.99"," ","999.9","010000"
"01001499999","2015-02-22","59.791925","5.34085","48.76","SORSTOKKEN, NO","  37.4"," 7","  28.7"," 7","9999.9"," 0","999.9"," 0","  6.2"," 7"," 11.4"," 7"," 17.1"," 24.1","  39.2","*","  35.6","*","99.99"," ","999.9","001000"
"01001499999","2015-02-23","59.791925","5.34085","48.76","SORSTOKKEN, NO","  38.8","14","  34.4","14","9999.9"," 0","999.9"," 0","  6.2","12"," 14.6","14"," 22.0"," 35.9","  41.0","*","  35.6","*","99.99"," ","999.9","011000"
"01001499999","2015-02-24","59.791925","5.34085","48.76","SORSTOKKEN, NO","  39.7","15","  33.6","15","9999.9"," 0","999.9"," 0","  6.2","15"," 14.3","15"," 20.0"," 28.9","  41.0","*","  35.6","*","99.99"," ","999.9","010000"
"01001499999","2015-02-25","59.791925","5.34085","48.76","SORSTOKKEN, NO","  42.8","14","  38.6","14","9999.9"," 0","999.9"," 0","  6.2","14","  4.9","14","  8.0"," 18.1","  48.2","*","  39.2","*","99.99"," ","999.9","011000"
"01001499999","2015-02-26","59.791925","5.34085","48.76","SORSTOKKEN, NO","  40.2","13","  33.8","13","9999.9"," 0","999.9"," 0","  6.1","13"," 21.4","13"," 28.0"," 47.0","  42.8","*","  37.4","*","99.99"," ","999.9","011000"
"01001499999","2015-02-27","59.791925","5.34085","48.76","SORSTOKKEN, NO","  41.0","15","  36.8","15","9999.9"," 0","999.9"," 0","  6.2","15"," 11.1","15"," 15.0"," 22.0","  42.8","*","  37.4","*","99.99"," ","999.9","011000"
"01001499999","2015-03-01","59.791925","5.34085","48.76","SORSTOKKEN, NO","  41.7"," 8","  39.7"," 8","9999.9"," 0","999.9"," 0","  4.3"," 8"," 14.4"," 8"," 22.0"," 33.0","  42.8","*","  41.0","*","99.99"," ","999.9","010000"
"01001499999","2015-03-02","59.791925","5.34085","48.76","SORSTOKKEN, NO","  40.5","15","  35.8","15","9999.9"," 0","999.9"," 0","  6.2","15","  6.7","15"," 14.0","999.9","  44.6","*","  37.4","*","99.99"," ","999.9","010000"
"01001499999","2015-03-03","59.791925","5.34085","48.76","SORSTOKKEN, NO","  35.2","14","  33.3","14","9999.9"," 0","999.9"," 0","  6.2","14","  7.7","14"," 12.0","999.9","  39.2","*","  33.8","*","99.99"," ","999.9","011000"
"01001499999","2015-03-04","59.791925","5.34085","48.76","SORSTOKKEN, NO","  37.9","14","  33.0","14","9999.9"," 0","999.9"," 0","  6.2","13","  3.2","14","  8.0","999.9","  44.6","*","  33.8","*","99.99"," ","999.9","010000"
"01001499999","2015-03-05","59.791925","5.34085","48.76","SORSTOKKEN, NO","  39.5","13","  38.2","13","9999.9"," 0","999.9"," 0","  6.0","13"," 11.8","13"," 17.1"," 29.9","  42.8","*","  35.6","*","99.99"," ","999.9","010000"
"01001499999","2015-03-06","59.791925","5.34085","48.76","SORSTOKKEN, NO","  42.8","13","  40.6","13","9999.9"," 0","999.9"," 0","  6.0","13"," 11.5","13"," 18.1"," 29.9","  44.6","*","  39.2","*","99.99"," ","999.9","010000"
"01001499999","2015-03-08","59.791925","5.34085","48.76","SORSTOKKEN, NO","  43.7"," 6","  41.6"," 6","9999.9"," 0","999.9"," 0","  6.2"," 6","  5.9"," 6"," 11.1","999.9","  44.6","*","  41.0","*"," 0.00","I","999.9","000000"
"01001499999","2015-03-09","59.791925","5.34085","48.76","SORSTOKKEN, NO","  41.6","15","  34.2","15","9999.9"," 0","999.9"," 0","  6.2","15"," 11.3","15"," 22.9"," 38.1","  44.6","*","  39.2","*"," 0.00","I","999.9","000000"
"01001499999","2015-03-10","59.791925","5.34085","48.76","SORSTOKKEN, NO","  44.6","14","  39.7","14","9999.9"," 0","999.9"," 0","  5.8","14"," 18.8","14"," 26.0"," 41.0","  46.4","*","  42.8","*","99.99"," ","999.9","010000"
"01001499999","2015-03-11","59.791925","5.34085","48.76","SORSTOKKEN, NO","  42.8","14","  31.2","14","9999.9"," 0","999.9"," 0","999.9"," 0","  9.2","14"," 17.1"," 24.1","  48.2","*","  35.6","*"," 0.00","I","999.9","000000"
"01001499999","2015-03-12","59.791925","5.34085","48.76","SORSTOKKEN, NO","  43.8","13","  36.6","13","9999.9"," 0","999.9"," 0","  6.2","12","  9.8","13"," 12.0","999.9","  48.2","*","  39.2","*","99.99"," ","999.9","010000"
"01001499999","2015-03-13","59.791925","5.34085","48.76","SORSTOKKEN, NO","  46.9","12","  29.6","12","9999.9"," 0","999.9"," 0","999.9"," 0","  7.0","12","  9.9","999.9","  51.8","*","  39.2","*"," 0.00","I","999.9","000000"
"01001499999","2015-03-15","59.791925","5.34085","48.76","SORSTOKKEN, NO","  47.1"," 8","  26.8"," 8","9999.9"," 0","999.9"," 0","999.9"," 0","  3.2"," 8","  6.0","999.9","  51.8","*","  41.0","*"," 0.00","I","999.9","000000"
"01001499999","2015-03-16","59.791925","5.34085","48.76","SORSTOKKEN, NO","  46.3","15","  31.4","15","9999.9"," 0","999.9"," 0","  6.2","13"," 10.3","15"," 17.1"," 22.9","  48.2","*","  44.6","*"," 0.00","I","999.9","000000"
"01001499999","2015-03-17","59.791925","5.34085","48.76","SORSTOKKEN, NO","  50.1","13","  30.2","13","9999.9"," 0","999.9"," 0","999.9"," 0"," 11.2","13"," 15.9"," 22.0","  53.6","*","  46.4","*","99.99"," ","999.9","010000"
"01001499999","2015-03-18","59.791925","5.34085","48.76","SORSTOKKEN, NO","  47.6","13","  36.2","13","9999.9"," 0","999.9"," 0","  6.2"," 9","  4.0","13","  8.0","999.9","  51.8","*","  44.6","*"," 0.00","I","999.9","000000"
"01001499999","2015-03-19","59.791925","5.34085","48.76","SORSTOKKEN, NO","  41.9","14","  40.2","14","9999.9"," 0","999.9"," 0","  3.3","14","  2.4","14","  4.1","999.9","  44.6","*","  39.2","*","99.99"," ","999.9","110000"
"01001499999","2015-03-20","59.791925","5.34085","48.76","SORSTOKKEN, NO","  42.5","13","  42.4","13","9999.9"," 0","999.9"," 0","  2.3","13","  6.5","13","  9.9","999.9","  42.8","*","  41.0","*","99.99"," ","999.9","010000"
"01001499999","2015-03-22","59.791925","5.34085","48.76","SORSTOKKEN, NO","  38.3"," 8","  37.4"," 8","9999.9"," 0","999.9"," 0","  2.5"," 8"," 12.7"," 8"," 15.9"," 24.1","  41.0","*","  35.6","*","99.99"," ","999.9","011000"
"01001499999","2015-03-23","59.791925","5.34085","48.76","SORSTOKKEN, NO","  44.0","15","  41.6","15","9999.9"," 0","999.9"," 0","  5.6","15"," 10.8","15"," 17.1"," 28.0","  50.0","*","  41.0","*","99.99"," ","999.9","010000"
"01001499999","2015-03-24","59.791925","5.34085","48.76","SORSTOKKEN, NO","  42.8","14","  36.9","14","9999.9"," 0","999.9"," 0","  6.2","14","  5.8","14","  8.0","999.9","  48.2","*","  37.4","*","99.99"," ","999.9","010000"
